CustomerID,Segment,Recency,Frequency,Monetary
12506,Lost,233,1,73.5
12507,At Risk,134,3,1052.81
12508,Potential Loyalists,26,2,397.88
12509,Lost,284,1,158.5
12510,At Risk,143,2,814.5699999999999
12512,At Risk,66,2,132.18
12513,Lost,113,1,558.29
12514,Lost,267,1,1017.68
12515,Lost,353,1,278.7
12516,At Risk,78,2,1186.06
12517,Loyal Customers,28,4,2301.6
12518,Loyal Customers,1,5,1840.89
12519,Lost,64,1,276.84
12520,At Risk,79,5,2346.2599999999998
12521,Lost,143,1,545.68
12522,Potential Loyalists,39,2,156.72
12523,Loyal Customers,19,11,1699.77
12524,Champions,9,8,3945.72
12526,Loyal Customers,1,3,1172.66
12527,At Risk,82,3,330.71000000000004
12528,Champions,9,6,1645.48
12530,At Risk,60,4,1500.28
12531,Recent Customers,15,1,125.22
12532,Potential Loyalists,30,1,313.83000000000004
12534,Lost,131,1,981.18
12535,At Risk,92,2,716.35
12536,Lost,59,1,4279.71
12538,Potential Loyalists,29,1,363.95
12539,Loyal Customers,22,4,5568.35
12540,Loyal Customers,20,17,11580.24
12541,Loyal Customers,30,3,841.18
12544,Potential Loyalists,36,1,316.7
12545,At Risk,75,2,832.39
12546,Potential Loyalists,47,2,1021.5
12547,Lost,198,2,151.79999999999998
12548,Lost,166,1,67.19999999999999
12550,Lost,79,1,824.83
12551,Lost,358,1,168.0
12552,Potential Loyalists,40,1,317.82
12553,Champions,8,10,3278.28
12556,Potential Loyalists,50,2,599.56
12557,Loyal Customers,16,5,11990.960000000001
12558,Recent Customers,8,1,269.96
12559,Lost,311,2,525.71
12560,Recent Customers,5,2,1918.01
12561,Lost,303,1,238.85
12562,Champions,8,7,3385.7400000000002
12564,Lost,261,1,402.9
12565,Lost,289,1,145.92
12566,Lost,86,1,297.65
12567,Loyal Customers,23,10,8609.28
12569,Champions,2,32,3152.69
12571,Potential Loyalists,40,2,519.61
12572,Recent Customers,9,2,912.42
12573,Lost,227,1,160.54000000000002
12574,Lost,316,1,182.45000000000002
12576,Loyal Customers,36,5,1315.83
12577,Loyal Customers,35,3,622.65
12578,Potential Loyalists,21,2,2402.51
12579,Lost,78,1,386.42
12580,Lost,247,1,379.7
12581,Potential Loyalists,40,1,179.71
12582,Lost,239,2,351.36
12583,Champions,3,15,6705.38
12584,Champions,4,9,2254.15
12585,Lost,234,2,1824.1
12586,Recent Customers,17,1,196.94000000000003
12587,Recent Customers,8,1,104.0
12588,Potential Loyalists,39,1,174.89999999999998
12589,Potential Loyalists,29,2,574.68
12590,Lost,211,1,9341.26
12591,Lost,317,1,368.85
12592,At Risk,92,2,401.6
12593,At Risk,109,3,382.09999999999997
12594,Loyal Customers,38,9,3208.2200000000003
12596,Potential Loyalists,51,2,450.27
12597,Loyal Customers,19,4,3195.22
12598,Champions,10,7,2807.08
12599,Loyal Customers,29,7,888.58
12600,Loyal Customers,29,10,2311.04
12601,Need Attention,190,5,487.06
12602,Lost,59,1,153.12
12603,Potential Loyalists,22,1,613.1999999999999
12604,At Risk,79,2,236.18
12607,Lost,60,1,1579.51
12609,At Risk,78,3,964.85
12610,Loyal Customers,23,4,1747.54
12611,Lost,52,1,1193.32
12612,Lost,74,1,668.0400000000001
12613,At Risk,57,4,3092.38
12614,Lost,278,1,315.6
12615,Loyal Customers,2,4,2093.19
12616,At Risk,95,2,641.3
12617,Potential Loyalists,29,1,352.98
12618,Potential Loyalists,22,1,137.31
12619,Champions,16,8,2945.56
12620,Loyal Customers,15,3,1303.41
12621,Champions,2,20,12411.67
12622,Lost,232,1,162.1
12623,Lost,276,1,269.1
12624,At Risk,106,2,569.13
12625,Lost,212,2,2413.82
12626,Loyal Customers,23,9,5954.48
12627,Champions,11,6,4082.53
12628,Loyal Customers,4,3,732.46
12630,Recent Customers,10,2,1030.88
12631,Lost,57,1,480.5
12633,At Risk,59,4,1929.98
12635,At Risk,90,2,1509.18
12637,At Risk,67,8,5804.9
12638,Potential Loyalists,33,1,511.69
12639,Lost,239,1,366.1
12640,Loyal Customers,24,3,994.58
12641,Lost,115,1,145.9
12642,Loyal Customers,25,3,905.26
12643,At Risk,128,6,3041.64
12644,Lost,130,1,477.91
12645,Loyal Customers,34,4,1631.18
12646,Recent Customers,5,2,1346.97
12647,Loyal Customers,22,12,3146.82
12648,Lost,155,1,300.05
12649,At Risk,107,3,569.51
12650,Recent Customers,3,1,242.44000000000003
12651,Lost,335,1,114.0
12652,Lost,331,1,793.98
12653,Lost,149,2,2209.85
12654,Loyal Customers,11,5,529.98
12656,Loyal Customers,17,5,3619.17
12657,Loyal Customers,11,4,1427.18
12658,Potential Loyalists,19,1,632.05
12659,Potential Loyalists,30,1,73.68
12660,Recent Customers,11,1,227.1
12662,Champions,1,11,3543.78
12664,Champions,8,9,4391.88
12665,Lost,325,1,45.0
12667,Lost,58,1,460.13
12668,Loyal Customers,12,4,3177.15
12669,Lost,151,2,1427.73
12670,Loyal Customers,10,5,2744.05
12672,Lost,330,1,225.89999999999998
12673,Recent Customers,5,2,574.52
12674,Loyal Customers,39,4,1844.6
12676,Loyal Customers,25,6,1091.39
12678,Loyal Customers,42,10,16481.46
12679,At Risk,59,4,951.02
12680,Loyal Customers,1,4,790.81
12681,Champions,15,22,12365.54
12682,Champions,4,31,11019.82
12683,Champions,4,14,7612.57
12684,Champions,8,6,2073.63
12685,Loyal Customers,28,6,2575.08
12686,Lost,372,1,71.14
12688,Lost,114,1,4873.8099999999995
12689,Potential Loyalists,26,2,1139.61
12690,Lost,206,1,335.01
12691,Loyal Customers,28,5,927.8
12693,At Risk,127,4,711.91
12694,At Risk,70,2,761.67
12695,Loyal Customers,7,4,582.1
12697,Loyal Customers,29,3,757.59
12700,Loyal Customers,8,4,4525.99
12701,At Risk,80,2,725.71
12702,Potential Loyalists,20,1,201.0
12703,Lost,71,1,265.55
12704,Champions,7,8,1740.84
12705,Champions,15,8,6382.29
12707,Lost,292,1,603.42
12708,Loyal Customers,30,10,2442.91
12709,Champions,15,15,9400.52
12710,At Risk,97,3,1023.02
12712,Loyal Customers,29,13,3928.13
12713,Recent Customers,1,1,794.55
12714,Loyal Customers,9,5,4294.86
12715,Lost,106,1,263.36
12716,Recent Customers,4,2,963.49
12717,Lost,151,2,830.98
12718,Lost,71,1,202.25
12719,Recent Customers,5,2,572.95
12720,Champions,3,25,5115.7300000000005
12721,Loyal Customers,32,6,2386.13
12722,At Risk,85,4,979.63
12723,Champions,4,5,707.07
12724,Loyal Customers,5,4,923.41
12725,Lost,371,1,371.8
12726,Loyal Customers,28,7,2411.1
12727,Champions,11,7,3440.7
12728,At Risk,71,4,728.33
12729,Lost,114,1,417.01
12731,Loyal Customers,24,12,18751.91
12732,Lost,180,1,218.26000000000002
12733,Lost,234,1,383.95
12734,Lost,353,1,110.39999999999999
12735,Lost,315,2,689.5699999999999
12736,Lost,333,1,144.0
12738,Lost,372,1,137.35
12739,Lost,99,1,975.54
12740,Lost,64,1,427.6
12743,At Risk,134,2,540.13
12744,At Risk,56,4,9120.39
12747,Champions,2,11,4196.01
12748,Champions,1,206,31650.78
12749,Champions,4,5,4090.88
12750,Lost,129,1,275.88
12752,Lost,81,1,4366.78
12753,Loyal Customers,23,6,21429.39
12754,Need Attention,236,3,3010.74
12755,Lost,281,2,3811.95
12756,Lost,87,1,112.07999999999998
12757,Champions,16,9,4176.75
12758,At Risk,117,2,2791.59
12759,At Risk,52,3,1411.44
12762,Recent Customers,8,2,1702.52
12763,At Risk,138,2,494.08
12764,Lost,317,1,1693.88
12766,Champions,4,7,6457.63
12769,Lost,239,1,1143.6
12770,Lost,211,1,1351.45
12772,Lost,60,1,752.47
12775,Champions,17,5,1281.04
12778,Loyal Customers,20,6,693.23
12779,Loyal Customers,38,8,3981.36
12781,At Risk,64,2,786.74
12782,Champions,5,5,1938.92
12783,Loyal Customers,2,4,1295.87
12784,Recent Customers,15,1,476.82
12785,Lost,364,1,255.95
12787,Loyal Customers,10,3,418.66
12789,Lost,65,1,76.85
12790,Lost,192,1,294.92
12791,Lost,374,1,177.60000000000002
12792,Lost,257,1,344.53999999999996
12793,Lost,335,2,461.48
12794,At Risk,53,2,860.41
12795,Potential Loyalists,19,1,318.48
12797,Lost,366,1,226.03
12798,Loyal Customers,10,3,6977.04
12802,Lost,187,1,397.58
12808,Loyal Customers,37,3,455.65000000000003
12809,Lost,178,1,405.31
12811,Lost,262,2,458.85
12812,Potential Loyalists,45,1,229.64000000000001
12814,Lost,102,1,85.92
12815,Lost,148,2,863.46
12816,At Risk,96,2,452.20000000000005
12817,Lost,281,1,126.03999999999999
12818,Lost,262,1,1182.0800000000002
12820,Loyal Customers,3,4,942.34
12821,Lost,214,1,92.72
12822,At Risk,71,2,948.88
12823,At Risk,75,5,1759.5
12824,Lost,60,1,397.12
12826,Champions,3,7,1474.72
12827,Loyal Customers,6,3,430.15000000000003
12828,Champions,3,6,1018.71
12829,Lost,337,2,293.0
12830,Loyal Customers,38,6,6814.64
12831,Lost,262,1,215.05
12832,Potential Loyalists,32,2,383.03
12833,Lost,145,1,417.38
12834,Lost,283,1,312.38
12836,At Risk,59,4,2610.36
12837,Lost,173,1,134.1
12838,Potential Loyalists,34,2,671.95
12839,Champions,3,14,5591.42
12840,Need Attention,144,4,2726.77
12841,Champions,5,25,3991.58
12842,At Risk,70,2,1118.99
12843,At Risk,66,8,1702.26
12844,Potential Loyalists,29,2,325.96000000000004
12845,Need Attention,267,4,354.09
12847,Potential Loyalists,22,1,843.64
12849,Potential Loyalists,31,2,992.65
12851,Lost,97,1,131.81
12852,Lost,295,1,311.55
12853,At Risk,135,6,1957.1000000000001
12854,At Risk,79,3,1316.25
12855,Lost,373,1,38.1
12856,Champions,8,6,2170.78
12857,Lost,211,2,1106.4
12863,Lost,52,1,521.2
12864,Lost,138,1,147.12
12865,Potential Loyalists,26,2,1568.23
12866,Lost,283,1,499.12
12867,Loyal Customers,26,7,4009.34
12868,Need Attention,186,6,1607.0600000000002
12871,At Risk,84,2,380.64
12872,Lost,327,2,599.97
12873,Lost,282,1,374.0
12875,At Risk,143,2,343.2300000000001
12876,At Risk,58,2,2053.02
12877,Champions,4,12,1535.77
12878,Lost,236,2,854.99
12879,Loyal Customers,45,3,573.22
12881,Lost,276,1,298.0
12882,Recent Customers,9,2,1463.04
12883,Loyal Customers,25,4,703.47
12884,Lost,88,1,309.05
12885,At Risk,63,3,1175.22
12886,At Risk,68,2,1378.4
12888,Lost,214,2,354.12
12890,Potential Loyalists,24,1,376.71999999999997
12891,Need Attention,186,3,331.0
12893,Potential Loyalists,31,1,176.55
12895,Potential Loyalists,42,2,372.8
12897,Lost,205,2,216.5
12901,Champions,9,28,17654.54
12902,Lost,265,1,138.68
12904,Recent Customers,18,2,496.06
12906,Champions,12,5,2919.81
12908,Lost,176,2,750.0
12909,Loyal Customers,40,5,2178.67
12910,Loyal Customers,23,8,3075.04
12912,Champions,3,5,1662.3
12913,Champions,5,5,2483.63
12915,Lost,149,2,363.65
12916,At Risk,139,4,2944.95
12917,Lost,128,1,594.0
12919,Champions,8,6,1335.19
12920,Recent Customers,17,1,162.78
12921,Champions,9,37,16587.09
12922,Lost,161,1,405.38
12923,Lost,64,1,171.57
12924,At Risk,88,4,925.75
12925,Recent Customers,5,2,694.05
12928,Loyal Customers,35,5,2062.7000000000003
12929,Lost,312,1,117.85
12930,At Risk,78,2,415.8
12931,Loyal Customers,22,15,42055.96
12933,Loyal Customers,24,3,607.53
12935,Champions,2,7,2160.7
12936,Loyal Customers,17,4,1063.9
12937,Loyal Customers,15,4,1504.27
12938,Potential Loyalists,26,1,114.14
12939,At Risk,64,8,11581.8
12940,At Risk,55,2,899.69
12942,At Risk,131,3,675.6
12944,Potential Loyalists,36,2,604.51
12945,Lost,288,1,462.95
12947,Need Attention,144,6,1603.99
12948,Champions,16,7,2064.95
12949,Loyal Customers,31,8,4167.22
12950,Loyal Customers,2,3,1843.0
12951,Champions,9,6,1064.07
12952,Loyal Customers,6,4,1387.79
12953,Recent Customers,10,1,329.85
12955,Champions,1,11,4757.16
12956,Lost,306,1,108.07
12957,Champions,10,8,4017.54
12962,Recent Customers,7,2,266.39
12963,Champions,8,8,1856.63
12965,Lost,89,1,769.8100000000001
12966,Recent Customers,10,1,160.18
12967,Lost,358,2,1660.9
12968,Lost,112,1,135.95
12970,Loyal Customers,7,4,405.47
12971,Champions,4,86,11189.91
12974,Lost,198,1,144.8
12976,Lost,212,1,738.6
12977,Lost,156,1,39.239999999999995
12980,Need Attention,158,9,7374.900000000001
12981,Potential Loyalists,30,2,372.21999999999997
12982,Lost,243,1,390.54
12984,Potential Loyalists,19,1,97.5
12985,Recent Customers,1,2,1239.38
12987,At Risk,74,2,558.7
12988,Lost,292,1,505.82
12989,Champions,3,15,6924.110000000001
12990,Loyal Customers,31,3,409.5
12991,Potential Loyalists,23,2,503.76
12993,Loyal Customers,23,4,414.76
12994,Loyal Customers,4,3,974.4200000000001
12995,Lost,85,1,211.32
12997,Loyal Customers,22,4,1226.89
12999,Need Attention,196,3,455.88
13000,At Risk,107,3,534.85
13001,Champions,4,13,9785.970000000001
13002,Lost,318,1,120.94999999999999
13003,At Risk,106,3,149.05
13004,Champions,12,18,5655.91
13005,Lost,174,2,513.7
13006,Lost,56,1,81.57
13008,Lost,323,1,229.46999999999997
13011,Lost,372,1,50.550000000000004
13012,Champions,9,8,1646.8400000000001
13013,Champions,1,13,4810.9400000000005
13014,Champions,11,10,3466.2799999999997
13015,At Risk,53,5,3339.64
13016,At Risk,73,3,789.89
13017,Recent Customers,7,1,204.0
13018,Champions,16,28,7277.7
13021,Champions,4,9,2616.38
13023,At Risk,64,2,599.9
13026,Champions,1,5,975.36
13027,At Risk,114,6,6912.0
13028,Potential Loyalists,23,2,661.3199999999999
13029,Loyal Customers,31,3,1247.5
13030,Recent Customers,11,2,752.4399999999999
13032,At Risk,52,2,1010.18
13033,Lost,357,1,190.55
13034,At Risk,55,2,642.77
13035,At Risk,74,2,921.88
13037,At Risk,138,3,881.07
13038,At Risk,80,3,908.46
13040,Recent Customers,9,2,676.99
13043,Lost,273,1,516.42
13044,Lost,291,1,560.47
13045,Lost,99,1,305.28000000000003
13046,Potential Loyalists,31,2,629.31
13047,At Risk,57,9,3232.59
13048,Loyal Customers,14,4,1819.41
13049,At Risk,64,2,656.6800000000001
13050,Champions,15,17,5833.11
13052,Lost,212,1,348.15000000000003
13055,At Risk,78,3,1214.41
13058,Loyal Customers,25,3,271.40000000000003
13059,Lost,250,1,183.4
13060,Lost,254,1,307.53
13061,Lost,72,1,248.61
13062,Lost,191,1,346.98
13064,Loyal Customers,13,4,1105.59
13065,Lost,373,1,205.86
13066,Potential Loyalists,24,2,470.8
13067,Lost,82,1,115.46000000000001
13068,Recent Customers,10,2,344.0
13069,Champions,1,24,4431.44
13070,Lost,192,1,228.8
13072,Lost,267,1,177.15
13075,Lost,130,1,919.61
13077,Loyal Customers,1,4,728.02
13078,Champions,3,26,12627.94
13079,Champions,4,5,220.10000000000002
13080,Lost,179,1,58.08
13081,Champions,12,11,28337.38
13082,At Risk,126,9,3613.63
13083,Recent Customers,4,2,303.75
13085,Lost,158,2,416.08000000000004
13089,Champions,3,97,58762.08
13090,Champions,9,13,8895.82
13091,Potential Loyalists,28,1,345.82
13092,At Risk,71,5,477.83
13093,Need Attention,276,8,7832.47
13094,Loyal Customers,21,12,1927.3200000000002
13095,Lost,71,1,74.39999999999999
13097,Loyal Customers,33,10,6003.22
13098,Champions,1,28,28882.44
13099,Lost,99,1,207.35999999999999
13101,Lost,234,1,101.19
13102,Champions,1,24,6424.09
13103,Potential Loyalists,40,1,243.94
13104,Champions,3,6,1098.48
13106,Lost,133,1,76.5
13107,Loyal Customers,44,4,1531.6200000000001
13108,Lost,373,1,350.06
13109,At Risk,60,2,786.54
13110,Loyal Customers,31,7,1488.67
13113,Champions,1,24,12245.960000000001
13115,Loyal Customers,12,4,2294.78
13116,Lost,138,1,501.14
13117,Loyal Customers,22,8,984.91
13118,Loyal Customers,20,5,1197.81
13120,Lost,239,1,30.599999999999998
13121,Lost,269,1,283.73
13122,At Risk,94,2,922.39
13124,At Risk,90,3,3756.33
13126,Champions,5,8,2099.64
13127,Lost,78,1,259.17
13130,Lost,94,1,64.0
13131,Loyal Customers,23,3,1073.3
13132,Lost,262,1,77.3
13133,Lost,274,2,109.8
13134,At Risk,86,4,1793.58
13135,Lost,197,1,3096.0
13136,At Risk,56,5,2607.61
13137,Champions,11,8,3603.29
13138,Loyal Customers,22,6,962.39
13139,Champions,16,7,5064.94
13140,At Risk,108,3,422.47
13141,At Risk,85,5,2388.75
13142,Potential Loyalists,19,1,307.09
13144,Lost,333,1,110.95
13145,Loyal Customers,40,4,618.52
13146,Potential Loyalists,26,1,228.91
13147,Loyal Customers,10,4,712.8000000000001
13148,Loyal Customers,29,12,3683.26
13149,Loyal Customers,14,4,1676.06
13151,Lost,296,1,1257.8700000000001
13153,Recent Customers,6,1,486.22
13155,Loyal Customers,33,4,971.76
13157,Loyal Customers,49,4,1741.22
13158,At Risk,95,4,1201.06
13159,Loyal Customers,9,4,1429.35
13160,Potential Loyalists,22,1,91.8
13161,Lost,313,1,112.75
13162,At Risk,122,4,1688.29
13165,Potential Loyalists,46,2,1021.48
13166,Lost,283,1,417.2
13167,Loyal Customers,19,4,779.33
13168,Loyal Customers,36,4,1299.59
13169,At Risk,64,2,712.88
13170,Potential Loyalists,27,1,108.81
13171,Loyal Customers,22,3,468.41
13173,Recent Customers,4,2,353.65
13174,Loyal Customers,16,3,2738.82
13176,Potential Loyalists,46,1,481.49
13177,Lost,65,1,282.45
13178,Loyal Customers,26,11,5725.47
13182,Potential Loyalists,45,1,121.18
13183,Champions,8,9,3957.78
13184,Champions,15,10,1667.95
13185,Lost,268,1,71.4
13186,Loyal Customers,40,3,1575.89
13187,Lost,337,1,236.02
13188,Recent Customers,11,1,114.60000000000001
13189,Potential Loyalists,19,2,260.68
13192,At Risk,95,2,911.94
13193,Lost,61,1,112.08
13194,Lost,136,1,60.7
13196,Loyal Customers,11,4,1797.78
13198,Champions,10,6,3401.2400000000002
13199,Champions,4,37,9802.12
13200,Loyal Customers,19,4,870.09
13203,Loyal Customers,10,4,869.46
13207,Recent Customers,15,2,250.26000000000002
13208,At Risk,59,5,1193.17
13209,Loyal Customers,30,8,5891.61
13210,Lost,94,1,353.48
13211,Loyal Customers,10,3,1095.42
13212,Loyal Customers,20,3,786.83
13213,At Risk,57,5,1520.58
13216,Lost,268,1,333.74
13217,At Risk,122,3,533.98
13218,Lost,127,1,62.63999999999999
13220,At Risk,78,4,819.2900000000001
13221,Lost,240,2,844.86
13223,Lost,200,2,163.20000000000002
13224,At Risk,60,2,2152.95
13225,Champions,3,7,6463.84
13226,Lost,273,1,108.21000000000001
13227,Lost,202,1,257.7
13228,Lost,81,1,358.0
13229,Lost,226,1,160.95
13230,Champions,4,14,2755.63
13232,Champions,13,7,1327.75
13233,At Risk,74,2,605.12
13235,Lost,212,1,1031.07
13236,Potential Loyalists,25,2,744.85
13238,Loyal Customers,17,4,700.73
13239,Lost,262,1,329.56
13240,At Risk,96,4,648.7
13242,At Risk,112,3,270.40000000000003
13243,Lost,203,1,585.12
13244,Lost,93,1,121.74000000000001
13245,Potential Loyalists,51,1,430.5
13246,Champions,18,6,1961.52
13247,Loyal Customers,18,4,501.12
13248,At Risk,125,2,465.68
13249,At Risk,92,3,711.41
13253,Lost,157,2,1030.4
13255,Recent Customers,9,2,399.51
13258,Loyal Customers,12,3,672.83
13259,Lost,62,1,283.18
13260,Lost,61,1,557.62
13261,Lost,269,2,944.1
13262,Lost,263,1,200.29
13263,Champions,1,34,7411.71
13265,At Risk,53,5,2092.66
13266,Champions,11,12,3834.2599999999998
13267,Champions,3,19,4521.49
13268,Champions,18,10,3152.71
13269,Champions,1,15,5343.28
13270,Lost,366,1,590.0
13271,Potential Loyalists,37,1,211.49
13272,Potential Loyalists,31,2,276.56
13273,Lost,113,1,138.98
13276,At Risk,64,2,590.9300000000001
13277,Loyal Customers,16,4,258.4
13278,Potential Loyalists,41,1,542.73
13279,Lost,78,1,137.75
13280,At Risk,122,3,798.46
13282,Loyal Customers,18,3,1132.14
13283,At Risk,60,2,93.66
13284,Lost,331,1,201.19
13285,Loyal Customers,23,4,2709.12
13291,Lost,156,1,361.11
13292,Potential Loyalists,39,2,578.9399999999999
13294,Lost,190,2,873.74
13295,Lost,360,1,201.20000000000002
13296,Lost,137,1,87.4
13297,Loyal Customers,8,4,2089.85
13298,Recent Customers,1,1,360.0
13299,Lost,268,1,142.5
13300,Lost,169,1,371.89
13301,At Risk,104,4,600.19
13302,Lost,155,1,63.75
13304,Lost,351,1,300.42
13305,Champions,4,10,2000.86
13307,Lost,120,1,15.0
13308,Loyal Customers,23,3,1385.51
13309,Champions,7,5,1456.79
13310,Loyal Customers,28,3,1132.03
13311,Recent Customers,4,2,598.57
13313,Loyal Customers,22,5,1555.32
13314,Loyal Customers,2,3,775.94
13316,Loyal Customers,37,4,5732.93
13317,At Risk,66,6,2273.68
13318,Loyal Customers,1,3,640.76
13319,Champions,5,26,10845.550000000001
13320,At Risk,78,4,1532.2
13321,At Risk,72,2,567.36
13322,Recent Customers,17,1,199.48000000000002
13323,Champions,3,5,787.85
13324,Loyal Customers,36,10,7121.95
13325,Lost,82,1,675.3
13327,Loyal Customers,39,8,3627.77
13328,Lost,316,1,1308.48
13329,Potential Loyalists,32,2,789.0
13330,At Risk,93,3,1140.93
13332,Recent Customers,14,1,350.9
13334,At Risk,82,3,3502.32
13336,Lost,77,1,795.12
13338,Lost,158,1,487.02
13339,Lost,201,1,860.12
13340,Loyal Customers,45,7,10736.48
13341,Lost,261,1,775.85
13343,Lost,178,1,353.43
13344,At Risk,68,3,2511.69
13345,Lost,288,1,389.5
13347,Lost,70,1,341.36
13348,Lost,64,1,233.76
13349,Recent Customers,11,1,247.32
13350,Recent Customers,16,2,979.12
13351,Lost,66,1,373.94
13352,Lost,60,1,397.97999999999996
13354,Lost,71,1,743.53
13355,Lost,122,1,674.7
13356,Lost,80,1,768.24
13357,Lost,257,1,609.4
13358,Lost,269,1,439.03
13359,Lost,64,1,439.56
13362,Loyal Customers,9,4,3090.7400000000002
13363,Recent Customers,18,2,992.5
13364,Lost,71,1,134.95999999999998
13365,Potential Loyalists,34,2,2225.37
13366,Potential Loyalists,50,1,56.160000000000004
13368,Lost,257,2,623.4
13369,Lost,366,1,308.28000000000003
13370,Lost,372,1,754.87
13372,Lost,90,1,378.64
13373,At Risk,61,3,3312.25
13375,Lost,89,1,778.65
13376,At Risk,99,3,1019.76
13379,Loyal Customers,26,3,572.56
13381,Loyal Customers,32,6,3639.31
13382,Lost,281,1,222.99
13384,Loyal Customers,31,7,4151.93
13385,Lost,330,1,534.57
13388,At Risk,131,2,677.1
13389,Loyal Customers,11,3,797.96
13390,Lost,75,1,544.08
13391,Lost,204,1,59.8
13394,Champions,2,8,2520.02
13395,Lost,185,1,307.72
13396,Potential Loyalists,29,2,1360.99
13397,At Risk,73,5,1544.13
13398,Lost,192,1,457.34
13402,At Risk,127,2,621.23
13403,Recent Customers,18,1,75.0
13404,Recent Customers,1,2,252.49
